module_path,category,feature,platform,hex_layer,encapsulation,plugin_applied,source_set,source_set_dir,source_set_dir_rel,platform_set,kotlin_loc,kotlin_files
:feat:inspections:contract,feat,inspections,,,contract,libs.plugins.snag.contract.driving.backend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/inspections/contract/src/commonMain,feat/inspections/contract/src/commonMain,all,37,3
:feat:projects:contract,feat,projects,,,contract,libs.plugins.snag.contract.driving.backend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/projects/contract/src/commonMain,feat/projects/contract/src/commonMain,all,66,6
:feat:reports:contract,feat,reports,,,contract,libs.plugins.snag.contract.driving.backend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/reports/contract/src/commonMain,feat/reports/contract/src/commonMain,all,5,1
:feat:structures:contract,feat,structures,,,contract,libs.plugins.snag.contract.driving.backend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/structures/contract/src/commonMain,feat/structures/contract/src/commonMain,all,31,3
:feat:users:contract,feat,users,,,contract,libs.plugins.snag.contract.driving.backend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/users/contract/src/commonMain,feat/users/contract/src/commonMain,all,19,2
:lib:database:fe,lib,,fe,,,libs.plugins.snag.frontend.multiplatform.module,androidMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/database/fe/src/androidMain,lib/database/fe/src/androidMain,android,17,1
:lib:database:fe,lib,,fe,,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/database/fe/src/commonMain,lib/database/fe/src/commonMain,frontend,164,5
:lib:database:fe,lib,,fe,,,libs.plugins.snag.frontend.multiplatform.module,iosMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/database/fe/src/iosMain,lib/database/fe/src/iosMain,ios,15,1
:lib:database:fe,lib,,fe,,,libs.plugins.snag.frontend.multiplatform.module,jvmMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/database/fe/src/jvmMain,lib/database/fe/src/jvmMain,jvm_desktop,15,1
:lib:database:fe,lib,,fe,,,libs.plugins.snag.frontend.multiplatform.module,webMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/database/fe/src/webMain,lib/database/fe/src/webMain,web,10,1
:lib:design:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,androidMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/design/fe/src/androidMain,lib/design/fe/src/androidMain,android,7,1
:lib:design:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/design/fe/src/commonMain,lib/design/fe/src/commonMain,frontend,1243,34
:lib:design:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,commonTest,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/design/fe/src/commonTest,lib/design/fe/src/commonTest,,171,1
:lib:design:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,jvmMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/design/fe/src/jvmMain,lib/design/fe/src/jvmMain,jvm_desktop,19,2
:lib:design:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,nonAndroidMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/design/fe/src/nonAndroidMain,lib/design/fe/src/nonAndroidMain,nonAndroid_fe,9,1
:lib:design:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,nonJvmMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/design/fe/src/nonJvmMain,lib/design/fe/src/nonJvmMain,nonJvm,3,1
:lib:routing:be,lib,,be,,,libs.plugins.snag.impl.driving.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/routing/be/src/main,lib/routing/be/src/main,backend,21,4
:lib:routing:common,lib,,common,,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/routing/common/src/commonMain,lib/routing/common/src/commonMain,all,2,1
:lib:routing:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/routing/fe/src/commonMain,lib/routing/fe/src/commonMain,frontend,46,3
:lib:routing:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,webMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/routing/fe/src/webMain,lib/routing/fe/src/webMain,web,5,1
:lib:storage:contract,lib,,,,contract,libs.plugins.snag.contract.driving.backend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/storage/contract/src/commonMain,lib/storage/contract/src/commonMain,all,11,2
:core:business:rules:api,core,,,,api,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/core/business/rules/api/src/commonMain,core/business/rules/api/src/commonMain,all,8,2
:core:business:rules:impl,core,,,,impl,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/core/business/rules/impl/src/commonMain,core/business/rules/impl/src/commonMain,all,30,3
:core:business:rules:impl,core,,,,impl,libs.plugins.snag.multiplatform.module,commonTest,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/core/business/rules/impl/src/commonTest,core/business/rules/impl/src/commonTest,,130,2
:feat:authentication:app:model,feat,authentication,,app,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/authentication/app/model/src/commonMain,feat/authentication/app/model/src/commonMain,all,4,1
:feat:authentication:fe:ports,feat,authentication,fe,ports,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/authentication/fe/ports/src/commonMain,feat/authentication/fe/ports/src/commonMain,frontend,17,2
:feat:authorization:business:model,feat,authorization,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/authorization/business/model/src/commonMain,feat/authorization/business/model/src/commonMain,all,8,1
:feat:clients:app:model,feat,clients,,app,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/clients/app/model/src/commonMain,feat/clients/app/model/src/commonMain,all,16,1
:feat:clients:be:ports,feat,clients,be,ports,,libs.plugins.snag.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/clients/be/ports/src/main,feat/clients/be/ports/src/main,backend,14,1
:feat:clients:business:model,feat,clients,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/clients/business/model/src/commonMain,feat/clients/business/model/src/commonMain,all,9,1
:feat:clients:business:rules,feat,clients,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/clients/business/rules/src/commonMain,feat/clients/business/rules/src/commonMain,all,19,2
:feat:clients:business:rules,feat,clients,,business,,libs.plugins.snag.multiplatform.module,commonTest,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/clients/business/rules/src/commonTest,feat/clients/business/rules/src/commonTest,,56,2
:feat:clients:fe:ports,feat,clients,fe,ports,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/clients/fe/ports/src/commonMain,feat/clients/fe/ports/src/commonMain,frontend,35,2
:feat:findings:app:model,feat,findings,,app,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/findings/app/model/src/commonMain,feat/findings/app/model/src/commonMain,all,33,2
:feat:findings:be:ports,feat,findings,be,ports,,libs.plugins.snag.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/findings/be/ports/src/main,feat/findings/be/ports/src/main,backend,32,2
:feat:findings:business:model,feat,findings,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/findings/business/model/src/commonMain,feat/findings/business/model/src/commonMain,all,67,6
:feat:findings:fe:ports,feat,findings,fe,ports,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/findings/fe/ports/src/commonMain,feat/findings/fe/ports/src/commonMain,frontend,91,4
:feat:inspections:app:model,feat,inspections,,app,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/inspections/app/model/src/commonMain,feat/inspections/app/model/src/commonMain,all,18,1
:feat:inspections:be:ports,feat,inspections,be,ports,,libs.plugins.snag.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/inspections/be/ports/src/main,feat/inspections/be/ports/src/main,backend,17,1
:feat:inspections:business:model,feat,inspections,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/inspections/business/model/src/commonMain,feat/inspections/business/model/src/commonMain,all,12,1
:feat:inspections:fe:ports,feat,inspections,fe,ports,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/inspections/fe/ports/src/commonMain,feat/inspections/fe/ports/src/commonMain,frontend,38,2
:feat:projects:app:model,feat,projects,,app,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/projects/app/model/src/commonMain,feat/projects/app/model/src/commonMain,all,32,2
:feat:projects:be:ports,feat,projects,be,ports,,libs.plugins.snag.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/projects/be/ports/src/main,feat/projects/be/ports/src/main,backend,45,3
:feat:projects:business:model,feat,projects,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/projects/business/model/src/commonMain,feat/projects/business/model/src/commonMain,all,18,2
:feat:projects:business:rules,feat,projects,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/projects/business/rules/src/commonMain,feat/projects/business/rules/src/commonMain,all,67,5
:feat:projects:business:rules,feat,projects,,business,,libs.plugins.snag.multiplatform.module,commonTest,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/projects/business/rules/src/commonTest,feat/projects/business/rules/src/commonTest,,324,5
:feat:projects:fe:ports,feat,projects,fe,ports,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/projects/fe/ports/src/commonMain,feat/projects/fe/ports/src/commonMain,frontend,96,5
:feat:reports:be:ports,feat,reports,be,ports,,libs.plugins.snag.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/reports/be/ports/src/main,feat/reports/be/ports/src/main,backend,21,2
:feat:reports:business:model,feat,reports,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/reports/business/model/src/commonMain,feat/reports/business/model/src/commonMain,all,32,2
:feat:reports:business:rules,feat,reports,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/reports/business/rules/src/commonMain,feat/reports/business/rules/src/commonMain,all,45,3
