module_path,category,feature,platform,hex_layer,encapsulation,plugin_applied,source_set,source_set_dir,source_set_dir_rel,platform_set,kotlin_loc,kotlin_files
:feat:projects:contract,feat,projects,,,contract,libs.plugins.snag.contract.driving.backend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/projects/contract/src/commonMain,feat/projects/contract/src/commonMain,all,0,0
:feat:reports:contract,feat,reports,,,contract,libs.plugins.snag.contract.driving.backend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/reports/contract/src/commonMain,feat/reports/contract/src/commonMain,all,0,0
:feat:structures:contract,feat,structures,,,contract,libs.plugins.snag.contract.driving.backend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/structures/contract/src/commonMain,feat/structures/contract/src/commonMain,all,0,0
:feat:users:contract,feat,users,,,contract,libs.plugins.snag.contract.driving.backend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/users/contract/src/commonMain,feat/users/contract/src/commonMain,all,0,0
:lib:database:fe,lib,,fe,,,libs.plugins.snag.frontend.multiplatform.module,androidMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/lib/database/fe/src/androidMain,lib/database/fe/src/androidMain,android,0,0
:lib:database:fe,lib,,fe,,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/lib/database/fe/src/commonMain,lib/database/fe/src/commonMain,frontend,0,0
:lib:database:fe,lib,,fe,,,libs.plugins.snag.frontend.multiplatform.module,iosMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/lib/database/fe/src/iosMain,lib/database/fe/src/iosMain,ios,0,0
:lib:database:fe,lib,,fe,,,libs.plugins.snag.frontend.multiplatform.module,jvmMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/lib/database/fe/src/jvmMain,lib/database/fe/src/jvmMain,jvm_desktop,0,0
:lib:database:fe,lib,,fe,,,libs.plugins.snag.frontend.multiplatform.module,webMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/lib/database/fe/src/webMain,lib/database/fe/src/webMain,web,0,0
:lib:design:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,androidMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/lib/design/fe/src/androidMain,lib/design/fe/src/androidMain,android,0,0
