module_path,source_set,kotlin_loc,kotlin_files
:feat:clients:fe:driving:impl,commonMain,913,15
:feat:clients:fe:driving:impl,commonTest,478,3
:feat:clients:fe:driving:impl,nonWebMain,11,1
:feat:clients:fe:driving:impl,webMain,11,1
:feat:findings:be:app:api,main,74,12
:feat:findings:be:app:impl,main,265,10
:feat:findings:be:app:impl,test,534,6
:feat:findings:be:app:model,main,37,2
:feat:findings:be:driven:impl,main,327,7
:feat:findings:be:driven:impl,test,233,1
:feat:findings:be:driven:test,main,30,1
:feat:findings:be:driving:impl,main,341,6
:feat:findings:be:driving:impl,test,677,2
:feat:findings:fe:app:api,commonMain,105,15
:feat:findings:fe:app:api,nonWebMain,6,1
:feat:findings:fe:app:api,webMain,12,2
:feat:findings:fe:app:impl,commonMain,507,18
:feat:findings:fe:app:impl,commonTest,719,8
:feat:findings:fe:app:impl,nonWebMain,166,3
:feat:findings:fe:app:impl,nonWebTest,442,2
:feat:findings:fe:app:impl,webMain,122,4
:feat:findings:fe:app:impl,webTest,122,1
:feat:findings:fe:driven:impl,commonMain,628,11
:feat:findings:fe:driven:impl,jvmTest,249,1
:feat:findings:fe:driven:test,commonMain,205,5
:feat:findings:fe:driving:api,commonMain,186,4
:feat:findings:fe:driving:api,nonWebMain,103,2
:feat:findings:fe:driving:api,webMain,162,3
:feat:findings:fe:driving:impl,commonMain,2061,25
:feat:findings:fe:driving:impl,commonTest,258,3
:feat:findings:fe:driving:impl,nonWebMain,85,2
:feat:findings:fe:driving:impl,webMain,96,2
:feat:inspections:be:app:api,main,43,7
:feat:inspections:be:app:impl,main,151,7
:feat:inspections:be:app:impl,test,129,2
:feat:inspections:be:app:model,main,21,1
:feat:inspections:be:driven:impl,main,149,3
:feat:inspections:be:driven:test,main,30,1
:feat:inspections:be:driving:impl,main,138,3
:feat:inspections:be:driving:impl,test,162,1
:feat:inspections:fe:app:api,commonMain,51,7
:feat:inspections:fe:app:impl,commonMain,281,11
:feat:inspections:fe:app:impl,commonTest,338,4
:feat:inspections:fe:driven:impl,commonMain,238,7
:feat:inspections:fe:driven:test,commonMain,80,3
:feat:inspections:fe:driving:api,commonMain,391,3
:feat:inspections:fe:driving:api,nonWebMain,32,2
:feat:inspections:fe:driving:api,webMain,67,3
:feat:inspections:fe:driving:impl,commonMain,1010,10
:feat:inspections:fe:driving:impl,commonTest,298,2
:feat:inspections:fe:driving:impl,nonWebMain,9,1
:feat:inspections:fe:driving:impl,webMain,9,1
:feat:projects:be:app:api,main,130,21
:feat:projects:be:app:impl,main,442,18
:feat:projects:be:app:impl,test,1020,10
:feat:projects:be:app:model,main,38,2
:feat:projects:be:driven:impl,main,351,5
:feat:projects:be:driven:test,main,53,2
:feat:projects:be:driving:impl,main,350,4
:feat:projects:be:driving:impl,test,949,2
:feat:projects:fe:app:api,commonMain,157,24
:feat:projects:fe:app:api,nonWebMain,6,1
:feat:projects:fe:app:api,webMain,6,1
:feat:projects:fe:app:impl,commonMain,1057,29
:feat:projects:fe:app:impl,commonTest,1585,19
:feat:projects:fe:app:impl,nonWebMain,172,4
:feat:projects:fe:app:impl,nonWebTest,325,3
:feat:projects:fe:app:impl,webMain,137,4
:feat:projects:fe:app:impl,webTest,267,3
:feat:projects:fe:driven:impl,commonMain,553,10
:feat:projects:fe:driven:test,commonMain,204,6
:feat:projects:fe:driving:api,commonMain,67,5
:feat:projects:fe:driving:api,nonWebMain,55,2
:feat:projects:fe:driving:api,webMain,108,3
:feat:projects:fe:driving:impl,commonMain,2865,32
:feat:projects:fe:driving:impl,commonTest,1331,5
:feat:projects:fe:driving:impl,nonWebMain,168,3
:feat:projects:fe:driving:impl,webMain,176,3
:feat:reports:be:app:api,main,19,2
:feat:reports:be:app:impl,main,99,4
:feat:reports:be:app:impl,test,158,2
:feat:reports:be:app:model,main,24,1
:feat:reports:be:driven:impl,main,422,4
:feat:reports:be:driven:test,main,28,2
:feat:reports:be:driving:impl,main,98,3
:feat:reports:be:driving:impl,test,225,1
:feat:reports:fe:app:api,commonMain,17,2
:feat:reports:fe:app:impl,commonMain,61,4
:feat:reports:fe:app:impl,commonTest,102,2
:feat:reports:fe:driven:impl,commonMain,60,4
:feat:reports:fe:driven:test,commonMain,42,2
:feat:shared:database:be:impl,main,295,19
:feat:shared:database:be:test,main,54,4
:feat:shared:database:fe:api,commonMain,0,0
:feat:shared:database:fe:impl,commonMain,39,1
:feat:shared:database:fe:test,androidMain,4,1
:feat:shared:database:fe:test,commonMain,3,1
:feat:shared:database:fe:test,iosMain,4,1
:feat:shared:database:fe:test,jvmMain,16,1
:feat:shared:database:fe:test,webMain,4,1
:feat:structures:be:app:api,main,43,7
:feat:structures:be:app:impl,main,151,7
:feat:structures:be:app:impl,test,418,4
:feat:structures:be:app:model,main,18,1
:feat:structures:be:driven:impl,main,140,3
:feat:structures:be:driven:test,main,24,1
:feat:structures:be:driving:impl,main,132,3
:feat:structures:be:driving:impl,test,449,1
:feat:structures:fe:app:api,commonMain,71,11
:feat:structures:fe:app:impl,commonMain,377,14
:feat:structures:fe:app:impl,commonTest,278,3
:feat:structures:fe:driven:impl,commonMain,197,7
:feat:structures:fe:driven:test,commonMain,80,3
:feat:structures:fe:driving:api,commonMain,154,4
:feat:structures:fe:driving:api,nonWebMain,78,2
:feat:structures:fe:driving:api,webMain,133,3
:feat:structures:fe:driving:impl,commonMain,1802,19
:feat:structures:fe:driving:impl,commonTest,518,4
:feat:structures:fe:driving:impl,nonWebMain,13,1
:feat:structures:fe:driving:impl,webMain,13,1
:feat:sync:be:app:api,main,43,4
:feat:sync:be:app:impl,main,57,3
:feat:sync:be:app:impl,test,142,1
:feat:sync:be:app:model,main,5,1
:feat:sync:fe:app:api,commonMain,241,18
:feat:sync:fe:app:api,commonTest,178,1
:feat:sync:fe:app:impl,commonMain,313,12
:feat:sync:fe:app:impl,commonTest,615,3
:feat:sync:fe:app:model,commonMain,12,2
:feat:sync:fe:driven:impl,commonMain,128,4
:feat:sync:fe:driven:test,commonMain,65,3
:feat:users:be:app:api,main,46,7
:feat:users:be:app:impl,main,167,9
:feat:users:be:app:impl,test,225,4
:feat:users:be:app:model,main,13,1
:feat:users:be:driven:impl,main,82,3
:feat:users:be:driven:test,main,29,2
:feat:users:be:driving:api,main,11,1
:feat:users:be:driving:impl,main,136,4
:feat:users:be:driving:impl,test,306,1
:feat:users:fe:app:api,commonMain,42,6
:feat:users:fe:app:impl,commonMain,253,10
:feat:users:fe:app:impl,commonTest,216,3
:feat:users:fe:driven:impl,commonMain,186,7
:feat:users:fe:driven:test,commonMain,70,3
:feat:users:fe:driving:api,commonMain,30,3
:feat:users:fe:driving:api,nonWebMain,15,2
:feat:users:fe:driving:api,webMain,34,3
:feat:users:fe:driving:impl,commonMain,444,11
:feat:users:fe:driving:impl,commonTest,258,2
:feat:users:fe:driving:impl,nonWebMain,7,1
:feat:users:fe:driving:impl,webMain,7,1
